Current LinkedIn Activity,Email Domain,EmployeeLeft,LinkedIn Skill Code,Mentor Program Involvement (Scaled),Negative Review in Past 5 Years,Race (code),Recruiting Location Code,Recruiting Method Code,"Survey, Relative, Attitude toward Manager","Survey, Relative, Attitude toward Peers","Survey, Relative, Attitude toward Resources","Survey, Relative, Attitude toward Work/Life Balance","Survey, Relative, Attitude toward Workload","Survey, Relative, Peer's Average Attitude toward Environment","Survey, Relative, Peer's Average Attitude toward Manager","Survey, Relative, Peer's Average Attitude toward Peers","Survey, Relative, Peer's Average Attitude toward Resources","Survey, Relative, Peer's Average Attitude toward Workload","Survey, Relative, Peer's Average Review of Employee",Weekly Hours Worked,Years of Service
2,timesonline.co.uk,1.0,43747,2,1,0,43747,43747,2,4,3,1,6,1,6,8,3,5,1,42,2
6,nih.gov,1.0,21249,4,0,3,10000,43747,2,4,3,2,2,3,4,4,1,3,4,42,6
3,mysql.com,1.0,10000,3,1,1,54996,43747,1,3,6,1,2,3,6,2,5,2,1,42,3
1,mysql.com,1.0,10000,3,1,2,43747,54996,2,4,5,1,3,3,3,7,7,2,1,46,5
2,admin.ch,0.0,32498,3,1,0,88743,77494,1,3,2,2,7,4,5,8,2,6,1,46,2
3,admin.ch,1.0,10000,2,1,2,10000,88743,2,3,4,1,6,3,2,1,5,5,1,34,3
6,fastcompany.com,0.0,10000,2,1,5,77494,21249,1,5,2,1,2,5,6,7,6,6,3,50,3
1,admin.ch,0.0,32498,1,1,1,21249,21249,2,6,4,1,7,5,4,8,4,4,2,46,2
3,timesonline.co.uk,1.0,10000,1,1,6,43747,54996,1,6,6,3,3,5,2,3,3,3,3,42,2
3,ucoz.com,1.0,21249,1,0,0,21249,43747,1,6,2,2,5,3,4,6,6,2,6,46,1
3,nih.gov,1.0,10000,3,0,0,21249,21249,2,3,5,2,6,5,6,5,4,5,3,42,2
5,nih.gov,1.0,21249,1,1,0,54996,88743,4,2,2,1,2,4,2,8,3,3,3,30,3
2,ucoz.com,1.0,21249,1,1,0,77494,43747,1,4,3,2,4,5,1,1,4,5,3,34,2
2,nih.gov,1.0,10000,4,0,1,88743,10000,4,5,4,3,2,5,3,2,2,4,1,46,1
4,mysql.com,1.0,10000,1,0,6,21249,21249,2,3,3,3,2,3,4,6,5,6,1,34,1
6,admin.ch,1.0,21249,5,0,0,32498,88743,2,3,2,1,2,5,6,6,4,3,2,42,0
1,admin.ch,0.0,10000,4,0,0,77494,43747,4,3,1,2,7,3,2,6,4,5,2,50,3
